Arabic,English,Dutch
قَد,(with perfect) has/have already,(met prestatie) heeft/hebben al
كانَ قَد,had already,had al
يَكونُ قَد,will have already,zal al
آخَر، أُخرى,"other, another; one more, additional","ander, nog een; nog een, extra"
شَيْء، أشياء,"thing, something","ding, iets"
عِندَ,"with, next to; at (time, location); (to have)","met, naast; op (tijd, plaats); (hebben)"
أوَّل، أُولى، أوائِل,"first; best, top-most","eerste; beste, allerhoogste"
أوَّل,beginning,begin
أوائِل,forefathers,voorouders
أوَّلاً,"first of all, primarily","allereerst, primair"
غَيْر,"other (than), different (than); not","anders (dan), verschillend (dan); niet"
غَيْر أنَّ,"however, but","echter, maar"
بِغَيْر,without,zonder
إذا,"when, if, whenever","wanneer, als, wanneer dan ook"
و إذا ب,and (then) suddenly,en (toen) plotseling
نَفْس، أنفُس,"same, self","hetzelfde, zelf"
عَرَبيّ، عَرَب,Arab; Arabian; Arabic,Arabisch; Arabisch
أيّ,"any (in genitive construction); what, which; whatever, whoever","enig (in genitiefconstructie); wat, welke; wat dan ook, wie dan ook"
رَئِيس، رُؤَساء,"president, leader; chief, head, chairman; main, chief, principal","president, leider; chef, hoofd, voorzitter; belangrijkste, chef, opdrachtgever"
عَمَل، أعمال,"working; work, activity, action","werken; werk, activiteit, actie"
وَطَنيّ,national; nationalistic,nationaal; nationalistisch
عَرَفَ، يَعرِفُ، المَعارِفة,"to know something/somebody or أنّ that; (perfect) to learn, find out أنَّ that","iets/iemand weten of أنّ dat; (voltooid) leren, ontdekken أنَّ dat"
بَعْض,"some, several","sommige, meerdere"
بَعضَ الشَّيْءٍ,"a little, to some extent","een beetje, tot op zekere hoogte"
بَعضُهُم بَعضاً,each other,elkaar
مَعَ بَعض,together,samen
على بَعض,on top of each other,bovenop elkaar
وَراء بَعض,"in line, in a row (one behind the other)","in een rij, achter elkaar"
دَوْلة، دُوَل,"state, country","staat, land"
كَما,"and, also, as well","en ook,"
إلّا,"except (for), but (for), save","behalve (voor), maar (voor), behalve"
إلّا أنَّ,"however, except that","echter, behalve dat"
وإلّا,otherwise,anders
أنتَ,you (masc),jij (mannelijk)
كَثير,"many, much, numerous","veel, talrijk, talrijk"
كَثيراً,very much,heel erg
كَثيراً ما,"frequently, often","vaak, regelmatig"
واحِد,"one, single","één, enkel"
لِأنَّ,because,omdat
لَكِنَّ,"(with following noun) however, but","(met daaropvolgend zelfstandig naamwoord) echter, maar"
لَيْسَ,to not be,niet te zijn
ألَيْسَ,isn’t…?,is niet…?
جَديد، جُدُد,"new, modern","nieuw, modern"
مِن جَديد,"again, anew","opnieuw, nieuw"
إنْ,if; whether,als; of
وإنْ,"even if, although","zelfs als, hoewel"
ما إنْ... حَتّى,"no sooner had… than, had just…when","Nauwelijks had… of, had net… toen"
عام، أعوام,year,jaar
أحَد/إحدى,"one (of, someone; anyone; (neg) nobody, no one","een (van, iemand; wie dan ook; (negatief) niemand, niemand"
أكثَر,"more/most, greater/est in number","meer/meest, groter/het grootste aantal"
كَبير، كِبار,"large; great, important, major; adult, senior","groot; geweldig, belangrijk, van groot belang; volwassen, senior"
الكِبار,the adults,de volwassenen
أخ، إخوان/إخوة,brother,broer
يا أخي,my friend; (hey) buddy,mijn vriend; (hé) maatje
كَيْفَ,how,Hoe
قَبلَ,before,voor
مِن قَبلِ,"before, prior to","voor, voorafgaand aan"
قَبلُ/من قَبلُ,"previously, earlier","voorheen, eerder"
سَنة، سَنَوات,year,jaar
أمْر، أُمور,"matter, issue, concern, affair","zaak, kwestie, zorg, aangelegenheid"
قُوَّة; قُوَّات; قُوىً,"power, strength, force","kracht, sterkte, macht"
هَل,(question marker),(vraagteken)
خِلال,"during, through","gedurende, door"
في خِلال,in the course of,in de loop van
في خِلال ذَلِك,meanwhile,In de tussentijd
من خِلال,"by means of, through; across, via; on the basis of; based on","door middel van, via; over, door; op basis van; gebaseerd op"
مَرّة; مَرّات; مِرار,"time, moment, occasion","tijd, moment, gelegenheid"
مَرّةً,once,eenmaal
مَرَّتَيْن,twice,tweemaal
مِراراً,repeatedly,herhaaldelijk
مَرّاتٍ,"several times, repeatedly","meerdere keren, herhaaldelijk"
بِالمَرّة,"totally; completely; (with neg) never, not at all","helemaal; volledig; (met negatie) nooit, helemaal niet"
رَأَى، يَرى، الرَّؤية,"to see something/somebody; to think, believe أنَّ that","iets/iemand zien; denken, geloven dat"
أب، آباء,بشفاثق,بشفاثق
الأبَوان,the parents,de ouders
هُناكَ,"there, over there; there is, there are","daar, daar; daar is, daar zijn"
تَمَّ، يَتِمُّ، التَّمام,"to finish, conclude, come to an end; to take place, be held (event)","Afronden, concluderen, tot een einde komen; plaatsvinden, gehouden worden (evenement)"
حَيْثُ,"where, in which (non-question word)","waar, waarin (niet-vraagwoord)"
حَيْثُ/بِحَيْثُ,"so that, in order to","zodat, om"
حَيْثُ أنَّ,"since, because, given that","aangezien, omdat, gezien het feit dat"
من حَيْثُ ال,"in terms of, based on","in termen van, gebaseerd op"
ثانٍ/الثّاني,"second, additional; next, following","tweede, aanvullend; vervolgens, volgend"
ثانياً,"secondly, furthermore","ten tweede, bovendien"
ثَانيةً,"again, once more","nogmaals, nog een keer"
حَتّى,"until, up to","tot, tot"
جَميع,all (of); everyone one (of),alle (van); ieder één (van)
الجَميع,everyone,iedereen
جَميعاً,"altogether; all, entirely","geheel; alles, volledig"
مِنطَقة، مَناطِق,"region, area, zone, territory","regio, gebied, zone, territorium"
حَقّ، حُقوق,"truth; legal right; true, right","waarheid; wettelijk recht; juist, juist"
الحُقوق,the law,de wet
حَقّاً,"really, truly","echt, werkelijk"
أمريكيّ,American,Amerikaans
مِثْل، أمثال,"like, similar to","zoals, vergelijkbaar met"
لَوْ,if,als
وَلَوْ,even if,zelfs als
لَوْ لا,"if not, if it weren’t for","zo niet, als het niet was geweest voor"
عامّ,"general, common, public","algemeen, gemeenschappelijk, openbaar"
اِسم، أسماء,name,naam
أمكَنَ,to be possible (ل for somebody) to do something,mogelijk zijn (ل voor iemand) om iets te doen
يُمكِنُ أنْ,it’s possible to (do something),Het is mogelijk om (iets te doen)
رَجُل، رِجال,man,man
لَكِن,but,Maar
عالَم، عَوالِم,world,wereld
حَياة,life,leven
مَوْضوع، مَواضيع,"subject, topic, issue, theme; placed, laid down; located, situated","onderwerp, thema, kwestie, thema; geplaatst, neergelegd; gelegen, gesitueerd"
وَزير، وُزَراء,minister,minister
نَحنُ,we,Wij
وَقْت، أوْقات,"time, moment, period","tijd, moment, periode"
في الوَقْت الذي,while,terwijl
بَلَد، بِلاد/بُلدان,"country, nation","land, natie"
مَن,"who, whom","wie, wie"
مَجلِس، مَجالِس,"council, board","raad, bestuur"
مَجلِس الشَّعْب,parliament,parlement
مَجلِس الشُّيوخ,US Senate,Amerikaanse Senaat
قامَ، يَقومُ، القَوْم,"to rise, stand up; to undertake, carry out ب (task, activity); to play ب (a role); to be based على on; (with imperfect) to start to do something","opstaan, zich oprichten; een taak, activiteit ondernemen, uitvoeren; een rol spelen; gebaseerd zijn op; (met imperfectum) ergens mee beginnen"
حُكومة; حُكومات,"government, administration","overheid, administratie"
بَيْت، بُيوت,house; family,huis; gezin
بَيْت، أبَيات,verse (of poetry),vers (van poëzie)
دونَ,"without; under, below","zonder; onder, beneden"
مِن دَونَ/بِدونَ,without,zonder
فِلَسطينيّ,Palestinian,Palestijns
ثُمَّ,"then, afterwards; besides, furthermore","vervolgens, daarna; bovendien, verder"
جاءَ، يَجيء، الجَيْئة,"to come (إلى to); to come to somebody; to appear, show up (في in something written or spoken)","komen (إلى naar); naar iemand toe komen; verschijnen, opduiken (في in iets geschreven of gesproken)"
قَلْب، قُلوب,"heart; center, essence; overthrowing, toppling (a regime); turning over (pages)","hart; centrum, essentie; omverwerpen, omverwerpen (van een regime); omslaan (van pagina's)"
ألْف، آلاف,thousand,duizend
ناس,"people, humans; persons","mensen, personen"
طَريق، طُرُق,"road, course; way, method","weg, route; manier, methode"
أرْض، أراضٍ/الأراضي,"earth, ground; land, territory","aarde, grond; land, grondgebied"
سَبَب، أسباب,"reason, cause","reden, oorzaak"
شَرِكة; شَرِكات,"company, corporation","bedrijf, onderneming"
عَدَد، أعداد,"number, quantity; (periodical) issue, edition","nummer, hoeveelheid; (periodiek) uitgave, editie"
بَيْنَ أعداد ال,among those who,onder degenen die
صورة، صُوَر,"picture, image, photo; manner, way, form","afbeelding, beeld, foto; manier, wijze, vorm"
دَوْليّ,"international, wold, global","internationaal, wereld, globaal"
دُوَليّاً,"internationally, worldwide, globally","internationaal, wereldwijd, globaal"
شَعْب، شُعوب,"people, nation","volk, natie"
عادَ، يَعودُ، العَوْدة,"to return, go back إلى to something; to be attributed إلى to something/somebody; (with imperfect) عادَ يَفعَلُ to repeat something, do something again; لم يَعُد to no longer do something or be something","om terug te keren, ga terug إلى naar iets; toe te schrijven إلى aan iets/iemand; (met onvoltooid) عادَ يَفعَلُ om iets te herhalen, doe iets opnieuw; لم يَعُد om niet langer iets te doen of te zijn"
إنْ شاء الله,"hopefully, God willing","hopelijk, als God het wil"
كَما شِئْتَ,as you wish,zoals u wenst
الآن,now,nu
أرادَ، يُريدُ، الإرادة,"to want, desire something or أنْ to do something","iets willen, verlangen of iets doen"
أهْل، أهالٍ/الأهالي,"family, relatives, folks; people, inhabitants","familie, verwanten, mensen; inwoners"
تِلكَ,"(fem singular) that, those","(vrouwelijke enkelvoud) dat, die"
عَيْن، عُيون,"eye; water spring, water source; spy, secret agent; eye (needle)","oog; waterbron; spion, geheim agent; oog (naald)"
الَّذينَ,"(masc plural) who, whom","(mannelijk meervoud) die, wie"
شَكْل، أشكال,"manner; form, shape; appearance, look","manier; vorm, gedaante; uiterlijk, blik"
عَمَليّة; عَمَليّات,"operation, process","werking, proces"
أمّا,"as for…, concerning…,","wat betreft…, betreffende…,"
أمّا بَعدُ,and now to our main point,En nu komen we bij ons belangrijkste punt.
خاصّ,"special, specific; private, personal; exclusive, elite","speciaal, specifiek; privé, persoonlijk; exclusief, elite"
حَوْلَ,"around: about, concerning","rondom: over, betreffende"
عَمِلَ، يَعمَلُ، العَمَل,"to work, function; to make, prepare, build something","werken, functioneren; iets maken, voorbereiden, bouwen"
عَنى، يَعني، العِناية,"to mean, imply something or أنّ that","iets betekenen, impliceren of أنّ dat"
عُنِيَ، يُعنى,"to be concerned ب with, take an interest ب in","zich bezighouden met, belangstelling hebben voor"
وَجَدَ، يَجِدُ، الوَجْد,to find something/somebody,iets/iemand vinden
يوجِد,there are,er zijn
خَيْر,"goodness, good; better (من than), best","goedheid, goed; beter (من dan), het beste"
وَطَنيّ,national; nationalistic; nationalist,nationaal; nationalistisch; nationalist
مَدينة، مُدُن,city,stad
اِبْن، أبناء,son,zoon
أبناء,children,kinderen
أبناء البِلاد,th native population,de inheemse bevolking
أيضاً,"also, as well; besides","ook, evenals; bovendien"
سَ/سَوْفَ,will,zullen
طَيِّب,"good, nice; pleasant; delicious; OK","goed, fijn; aangenaam; heerlijk; oké"
يَد، الأيدي,hand,hand
مَشروع، مَشاريع,"project, enterprise; lawful, legal","project, onderneming; rechtmatig, legaal"
مَشروع قانون,"bill, draft law","wetsvoorstel, wetsontwerp"
أمامْ,"front, font part","voorkant, voorste deel"
أمامَ,"in front of, facing","ervoor, ertegenover"
إلى الأمام,forward,vooruit
سَمِعَ، يَسمَعُ، السَّماع,"to hear somebody, listen (إلى) to somebody","om iemand te horen, luister (إلى) naar iemand"
نِسبة، نِسَب,"ratio, rate, percentage","verhouding, percentage, verhouding"
بِالنِّسبة إلى,"concerning, regarding, in relation to","betreffende, met betrekking tot, in verband met"
حال، أحوال,"situation, condition, case","situatie, toestand, geval"
حالاً,"immediately, right now","onmiddellijk, nu meteen"
شَهُر، شُهور/أشهُر,month,maand
بَل,"but, rather; in fact",maar eerder; in feite
بَرنامَج، بَرامِج,program,programma
أُمّ، أُمِّهات,mother,moeder
بِأُم العين,"with one’s own eyes; the best, greatest, finest","met eigen ogen; het beste, het grootste, het mooiste"
حَرب، حُروب,"war, warfare","oorlog, oorlogvoering"
عِندَما,"when, as soon as","wanneer, zodra"
وَضْع، أوْضاع,"laying down, putting, placing; drafting (document); situation, state of affairs, status, condition","neerleggen, plaatsen, neerzetten; opstellen (document); situatie, stand van zaken, status, toestand"
دَوْر، أدْوار,"role, part, task, function; floor (building level); stage; turn (chance to act, play a role)","rol, onderdeel, taak, functie; verdieping (gebouwniveau); podium; beurt (kans om te handelen, een rol te spelen)"
وَجه، وُجوه,"face, font; side; way, manner","gezicht, lettertype; kant; manier, wijze"
وَجه، أوْجُه,"aspect, facet","aspect, facet"
بِوَجهٍ عامّ/خاصّ,generally/specifically,in het algemeen/specifiek
جِدّ,"seriousness, earnestness","ernst, oprechtheid"
بِجِدٍّ,"seriously, in earnest","serieus, oprecht"
بَدَأَ، يَبدَأُ، البَدء,"to start, to begin (في) something or (with imperfect) to do something","iets beginnen, starten (في) of (met imperfectum) iets doen"
كَلِمة; كَلِمات,word; remark; speech,woord; opmerking; spraak
طِفل، أطفال,"child, infant","kind, baby"
مُنذُ,"since, ago; ever since, starting from","sinds, geleden; sindsdien, vanaf"
لَدى,"with, by, at; to have","met, door, bij; hebben"
أصبَحَ,"to become something; to being, start (to do something)","iets worden; beginnen, starten (iets doen)"
مَكان، أمكِنة/أماكِن,"place, location; position, role, post","plaats, locatie; positie, rol, functie"
صارَ، يَصيرُ,to become; to happen; (with imperfect) to begin to do,worden; gebeuren; (met imperfectum) beginnen te doen
مُشكلة، مَشاكِل,"problem, issue","probleem, kwestie"
عَشَرات,"tens, scores, dozens","tientallen, tientallen, tientallen"
وَصَلَ,"to arrive إلى at; to connect, link, join (بين) between","aankomen bij; verbinden, koppelen, samenvoegen (بين) tussen"
إسلاميّ,Islamic; Islamist,Islamitisch; islamist
ساعة; ساعات,"hour, time, o’clock; clock, watch","uur, tijd, uur; klok, horloge"
شَيخ، شُيوخ,"sheikh, leader; old man; senator","sjeik, leider; oude man; senator"
أكَّدَ,"to confirm something or أنّ that; to underscore, emphasize (على) something or على) أنّ) that","om dat te bevestigen of te bevestigen; onderstrepen, benadrukken (على) iets of على) أنّ) dat"
سَلام; سَلامات,"peace; (plural) greeting, salute","vrede; (mv) groet, saluut"
السلام الوَطَنيّ,the national anthem,het volkslied
سَِّد، سادة,"Sir, Mr; lord, master, boss","Mijnheer, meneer; heer, meester, baas"
صاحِب، أصحاب,"owner, possessor; originator; friend, companion","eigenaar, bezitter; bedenker; vriend, metgezel"
حَرَكة; حَرَكات,"movement, motion, activity; organization, (political) movement","beweging, activiteit; organisatie, (politieke) beweging"
رَبّ، أرباب,"lord, master; Lord; owner, proprietor","heer, meester; Heer; eigenaar, bezitter"
حَدّ، حُدود,"extent, limit, level; edge, corner","omvang, grens, niveau; rand, hoek"
حُدود,"border, frontier; range, scope","grens, grensgebied; bereik, omvang"
أخَذَ، يَزْخُذ، الأخذ,to take something; (imperfect) to begin to do something,iets nemen; (verleden tijd) ergens mee beginnen
نِظام، نُظُم/أنظِمة,"regime, government, system; orderliness","regime, regering, systeem; ordelijkheid"
ذات، ذَوات,"ego, self; (genitive construction) a certain, a given (day, time, occasion, person, thing)","ego, zelf; (genitiefconstructie) een bepaald, een gegeven (dag, tijd, gelegenheid, persoon, ding)"
بالذّات,"exactly, precisely","precies, exact"
قَضِيّة، قَضايا,"problem, issue; lawsuit, legal case","probleem, kwestie; rechtszaak, juridisch geschil"
ماضٍ/الماضي,"past; previous, last; the past","verleden; voorgaand, laatst; het verleden"
إنسان، أُناس,human being,mens
حالة; حالات,"condition, state, situation; case, instance","toestand, situatie; geval, voorbeeld"
أخير,"last; latest, recent",laatst; meest recent
الأخير,the latter,laatstgenoemde
أخيراً,finally; recently lately,"ten slotte; onlangs, de laatste tijd"
رَغم، على الرَّغمِ من، بالرَّغمِ من,"in spite of, despite","ondanks, ondanks"
جانِب، جَوانِب,"side, aspect, part","kant, aspect, deel"
إلى جانِب، بِجانِب,"next to, beside","naast, ernaast"
حُبّ,"affection, love","genegenheid, liefde"
حُبّاً ل,"out of affection for, for love of","uit genegenheid voor, uit liefde voor"
جامِعة; جامِعات,university; league,universiteit; competitie
قَرار; قَرارات,"decision, resolution","besluit, resolutie"
لَقَد,(with perfect) has/have already,(met prestatie) heeft/hebben al
زالَ,to cease,ophouden
لا يَزالُ، ما زالَ، لا زالَ، ما يَزالُ,to continue to be or do something,iets blijven zijn of doen
رَأْس، رُؤُوس,"head; tip, top","kop; punt, bovenkant"
رَأْس مال، رُؤُوس أموال,capital; (geo) cape,hoofdstad; (geo) kaap
رَأساً,immediately,onmiddellijk
تَحتْ,bottom part,onderste deel
تَحتَ,"below, under","hieronder, onder"
وِزارة; وِزارات,ministry,ministerie
هَدَف، أهداف,"goal, target; intention, objective; (sports) goal, point","doel, streven; intentie, objectief; (sport) doel, punt"
عَلاقة; عَلاقات,"relation, link, tie, connection","relatie, verband, band, verbinding"
مُتَّحِد,united,verenigd
مُجتَمَع; مُجتَمَعات,society,maatschappij
مَركَز، مَراكِز,"center; station; (sports) ranking, position","centrum; station; (sport)ranglijst, positie"
حَكى، يَحكي، الحِكاية,"to tell, relate, report","vertellen, beschrijven, rapporteren"
نَتيجة، نَتائِج,"result, outcome; consequence","resultaat, uitkomst; gevolg"
نَتيجةً ل,as a result of,als gevolg van
رَأْي، آراء,"opinion, view; idea","mening, standpunt; idee"
إدارة; إدارات,"administration, management; bureau, office, directorate","administratie, management; bureau, dienst, directie"
صَغير، صِغار,"small; young; children, youths","klein; jong; kinderen, jongeren"
قانون، قَوانين,"law, statues, regulations","wet, statuten, regelgeving"
بما أنّ,"because, in light of the fact that, considering that","omdat, gezien het feit dat, en rekening houdend met het feit dat"
بما في ذلك,including,inbegrepen
اِستَطاعَ,"to be able ْأن/vn. to do something, to be capable أنْ/vn. of doing something","in staat zijn / (vn.) iets te doen, in staat zijn / (vn.) iets te doen"
ماء، مِياه,water; liquid; juice,water; vloeistof; sap
مِياه,(body of) water,(lichaam van) water
أمْن,"safety, security, protection; order, control, discipline","veiligheid, beveiliging, bescherming; orde, controle, discipline"
قَدَّمَ,"to offer, present something; to submit (request, complaint) to apply على for (position)","iets aanbieden, presenteren; een verzoek of klacht indienen; solliciteren naar een functie"
شَخص، أشخاص,"person, individual","persoon, individu"
كَلام,"speech, talk; statement, remark; saying, quote","toespraak, gesprek; verklaring, opmerking; gezegde, citaat"
مَوقِع، مَواقِع,"position, location, site; website","positie, locatie, site; website"
مِئَة، مائِة,hundred,honderd
مئات,hundreds,honderden
حينَ,when,wanneer
داخِلْ,"interior, inside","interieur, binnenkant"
داخِلَ,inside (of),binnen (van)
وَحدة; وَحدات,"unity, solitude, loneliness; unit, item; portion, selection","eenheid, eenzaamheid, alleen zijn; eenheid, item; deel, selectie"
أُمّة، أُمَم,"nation; people, community","natie; volk, gemeenschap"
مُهِمّ,"important, serious","belangrijk, serieus"
من المُهِمّ,"the important thing is that, what’s important is","Het belangrijkste is dat, wat belangrijk is"
مِليُون، مَلايين,million,miljoen
دُكتور، دَكاتِرة,doctor (physician or holder of doctorate); (title) Dr,arts (dokter of gepromoveerde); (titel) Dr.
فِعْل، أفعال,"doing; deed, act, action, (ling) verb","doen; daad, handeling, actie, (ling) werkwoord"
فِعلاً، بالفعل,"really, actually, in fact","echt, eigenlijk, in feite"
بِفِعل,"because of, owing to","vanwege, als gevolg van"
حُلو,"sweet, nice pleasant","lief, aardig, aangenaam"
فَريق، فرقاء,"team, group, band; faction, party; (plural) lieutenant general","team, groep, band; factie, partij; (mv) luitenant-generaal"
بَقِيَ، يَبقى البَقاء,"to remain, stay (على in a state); to last, endure; to be left over; to continue doing something or being something; (with neg) to no longer do something or be something","blijven, in een bepaalde toestand verkeren; voortduren, volhouden; overblijven; iets blijven doen of zijn; (met negatie) iets niet langer doen of zijn"
لَجنة، لِجان,"committee, council, commission","commissie, raad, comité"
مُختَلِف,"different, divergent; various; in disagreement (في/على about something)","verschillend, uiteenlopend; gevarieerd; in onenigheid (في/على over iets)"
وَجَبَ، يَجِبُ,to be necessary على for somebody أنْ to do something; to be incumbent upon على somebody أنْ to do something,noodzakelijk zijn على voor iemand أنْ om iets te doen; verplicht zijn على iemand أنْ om iets te doen
نَظَر، أنظار,"looking إلى at; examining, looking في into; view, looking, glance, opinion","kijkend naar; onderzoekend, onderzoekend in; bekijkend, kijkend, blik, mening"
نَظَراً ل,"due to, in view of the fact that","vanwege, gezien het feit dat"
مَجال; مَجالات,"area, space; field, domain, sphere; sector; arena","gebied, ruimte; veld, domein, sfeer; sector; arena"
مَجال جَوِّيّ,air space,luchtruim
فَتْرة، فَتَرات,"time period, phase, interval","tijdsperiode, fase, interval"
شَبّ، شَباب,"young man, youths","jongeman, jongeren"
شَأْن، شُؤون,"matter, affair, case; situation, condition","zaak, aangelegenheid, geval; situatie, toestand"
ذَكَرَ، يَذكُرُ، الذِّكر,to mention something/sbh; to remember something/somebody,iets noemen; zich iets herinneren
يُذكَر أنّ,it’s worth mentioning that,Het is de moeite waard om te vermelden dat
سُؤال، أسئِلة,"question, inquiry","vraag, onderzoek"
وُجود,"existence, presence, being present","bestaan, aanwezigheid, aanwezig zijn"
حَلّ,"solving (a problem); solution; dissolution, annulment; cancellation","oplossen (van een probleem); oplossing; ontbinding, nietigverklaring; annulering"
طالِب,"student, applicant; seeking, requesting","student, aanvrager; zoekende, verzoekend"
مُستَوىً، مُستَوَيات,"level, standard","niveau, standaard"
وَاللّهِ,by God; I swear (an oath),"Bij God, ik zweer (een eed)"
وحياتك,I swear (on your life),Ik zweer het (op je leven)
أمْ,or (in questions),of (in vragen)
أمْ لا؟,…or not?,…of toch niet?
فَقَط,"only, just, solely","alleen, gewoon, uitsluitend"
..ليس..فقط بل,not just… but (also) …,niet alleen… maar (ook) …
وِلاية; وِلايات,"mandate, term of office; state, province","mandaat, ambtstermijn; staat, provincie"
قَدْ,"(imperfect) may, might","(onvoltooid) misschien, zou kunnen"
عَضو، أعضاء,"member, associate; (anat) organ, limb","lid, geassocieerde; (anat) orgaan, ledemaat"
حَتّى,"(with subjunctive) in order to, so that","(met de conjunctief) om, zodat"
عُمْر، أعمار,"age (of a person); life, lifetime","leeftijd (van een persoon); leven, levensduur"
دائِم,"lasting, enduring; permanent, constant","blijvend, duurzaam; permanent, constant"
سابِقٍ,"former, previous, preceding","voormalig, vorig, voorafgaand"
سابِقاً,"formerly, perviously","vroeger, voorheen"
خَبر، أخبار,"news, report; (gram) predicate","nieuws, bericht; (gram) predicaat"
تاريخ,"date, history","datum, geschiedenis"
دِراسة; دِراسات,"study, research, examination","studie, onderzoek, onderzoek"
مَوقِف، مَواقِف,position,positie
حِزْب، أحزاب,political party,politieke partij
مُؤَسَّسة; مُؤَسَّسات,"institution, organization; foundation","instelling, organisatie; stichting"
أضافَ، يُضيفُ، الإضافة,to add something,iets toevoegen
قِطاع; قِطاعات,"sector, section","sector, sectie"
قِطاع غَزّة,Gaza Strip,Gazastrook
مَجموعة; مَجموعات,"collection, group; squad; bloc","verzameling, groep; team; blok"
سَلَّمَ,"to turn over, surrender something إلى to somebody; to great, salute somebody","iets overgeven, overhandigen aan iemand; iemand begroeten, iemand groeten"
سَلِّم لي على,give my regards to,doe de groeten aan
سوق، أسواق,market,markt
حَمْد,"praise, commendation","lof, aanbeveling"
دَخَلَ، يَدخُلُ، الدُّخول,to enter something,iets binnengaan
باب، أبواب,"door, gate; category, rubric; section, chapter","deur, poort; categorie, rubriek; sectie, hoofdstuk"
مِمّا,which,welke
أجْل,sake,belang
من أجلِ/لأجلِ,"because of, for the sake of","omdat, ter wille van"
لأجلِ أنْ,in order to,om te
اِتِّحاد; اِتِّحادات,"unification, unifying; union","eenwording, verenigend; unie"
تَحقيق; تَحقيقات,"achievement, realization; investigation; interrogation (مع of somebody)","prestatie, realisatie; onderzoek; ondervraging (مع van iemand)"
الفُنون الجَميلة,fine arts,beeldende kunst
نَوْع، أنواع,"type, kind, form","type, soort, vorm"
نَوْعاً ما,"somewhat, more or less","enigszins, min of meer"
طَلَعَ,"to appear, emerge rise; to go outcome out, get out","verschijnen, tevoorschijn komen, opstaan; naar buiten gaan, het resultaat zijn, eruit komen."
خِدمة، خَدَمات,"service, assistance, aid","service, assistentie, hulp"
فيما,"while, meanwhile","terwijl, ondertussen"
فيما بَعدُ,later,later
حاليّ,"present, current","heden, huidig"
حاليّاً,"presently, currently","momenteel, momenteel"
حُكم، أحكام,"rule, government; (plural) judgement, decision, verdict; statutes laws","regel, regering; (mv) oordeel, beslissing, uitspraak; statuten, wetten"
بِحُكمِ,"by virtue of, because of","op grond van, vanwege"
